"skPersona","medicion","factorExpPersonas","factorExpHogares","factorExpViviendas","skVivienda","skHogar","skBarrio","codigoComuna","Edad","Sexo","anios_en_barrio","vida_en_barrio","vive_arriendo","valor_arriendo","vivia_en_otro_pais","vivia_en_otro_municipio","vivia_en_otro_barrio","Estrato","posee_gas","posee_aseo","total_cuartos","cuartos_dormir","posee_sanitario","cantidad_personas_hogar","personas_cuarto","hacinamiento","posee_energia","posee_acueducto","posee_alcantarillado","paredes_material","pisos_material","servicios","material_vivienda","barrio_anterior","codigoBarrioComuna","Cod_comuna","cod_barrio","nombreBarrio","zona","Sector","nombreComuna","migrante_en_arriendo","tipo_persona"
"2024_19546",2024,"95.974358974359","144.39590443686","144.122866894198","2024_6635","2024_6635_1",NA,80,62,1,26,0.419354838709677,0,"-88",0,1,0,3,1,1,4,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_19547",2024,"73.7692307692308","144.39590443686","144.122866894198","2024_6635","2024_6635_1",NA,80,65,0,26,0.4,0,"-88",0,1,0,3,1,1,4,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_19548",2024,"120.555555555556","144.39590443686","144.122866894198","2024_6635","2024_6635_1",NA,80,25,0,25,1,0,"-88",0,0,0,3,1,1,4,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_19549",2024,"139.647058823529","144.39590443686","144.122866894198","2024_6636","2024_6636_1",NA,80,43,1,3,0.0697674418604651,1,"750000",0,0,1,2,1,1,7,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_8096",NA,NA,NA,NA,NA,NA,NA,0,"Nuevo en el barrio"
"2024_19550",2024,"171.08","144.39590443686","144.122866894198","2024_6636","2024_6636_1",NA,80,42,0,3,0.0714285714285714,1,"750000",0,0,1,2,1,1,7,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_8096",NA,NA,NA,NA,NA,NA,NA,0,"Nuevo en el barrio"
"2024_19551",2024,"93.625","144.39590443686","144.122866894198","2024_6636","2024_6636_1",NA,80,13,1,3,0.230769230769231,1,"750000",0,0,1,2,1,1,7,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_8096",NA,NA,NA,NA,NA,NA,NA,0,"Nuevo en el barrio"
"2024_19552",2024,"48.3846153846154","144.39590443686","144.122866894198","2024_6637","2024_6637_1",NA,80,99,0,99,1,0,"-88",0,0,0,2,1,1,6,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_19553",2024,"102.555555555556","144.39590443686","144.122866894198","2024_6637","2024_6637_1",NA,80,82,1,82,1,0,"-88",0,0,0,2,1,1,6,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_19554",2024,"118.305555555556","144.39590443686","144.122866894198","2024_6637","2024_6637_1",NA,80,52,1,52,1,0,"-88",0,0,0,2,1,1,6,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_19555",2024,"223.8","144.39590443686","144.122866894198","2024_6637","2024_6637_1",NA,80,25,1,25,1,0,"-88",0,0,0,2,1,1,6,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
