"","codigoComuna","descripcionSexo","key","FEP_barrio"
"10930",5,"Hombre","501_0_1_2014",71.6923076923077
"10931",5,"Hombre","501_0_1_2015",71
"10932",5,"Hombre","501_0_1_2016",71.2307692307692
"10933",5,"Hombre","501_0_1_2017",84.6363636363636
"10934",5,"Hombre","501_0_1_2018",117.571428571429
"10935",5,"Hombre","501_0_1_2019",117.142857142857
"10936",5,"Hombre","501_0_2_2005",77.4444444444444
"10937",5,"Hombre","501_0_2_2006",36.25
"10938",5,"Hombre","501_0_2_2007",25
"10939",5,"Hombre","501_0_2_2008",28.7407407407407
"10940",5,"Hombre","501_0_2_2009",34.5217391304348
"10941",5,"Hombre","501_0_2_2010",40.15
"10942",5,"Hombre","501_0_2_2011",80.2
"10943",5,"Hombre","501_0_2_2012",52.7333333333333
"10944",5,"Hombre","501_0_2_2013",51.6
"10945",5,"Hombre","501_0_2_2014",46.8125
"10946",5,"Hombre","501_0_2_2015",72.5
"10947",5,"Hombre","501_0_2_2016",41.2352941176471
"10948",5,"Hombre","501_0_2_2017",52.2307692307692
"10949",5,"Hombre","501_0_2_2018",141.2
"10950",5,"Hombre","501_0_2_2019",173.5
"10951",5,"Hombre","501_0_3_2005",42
"10952",5,"Hombre","501_0_3_2006",36.9285714285714
"10953",5,"Hombre","501_0_3_2007",17.8
"10954",5,"Hombre","501_0_3_2008",37
"10955",5,"Hombre","501_0_3_2009",22.4615384615385
"10956",5,"Hombre","501_0_3_2010",87.8571428571429
"10957",5,"Hombre","501_0_3_2011",93
"10958",5,"Hombre","501_0_3_2012",52.9230769230769
"10959",5,"Hombre","501_0_3_2013",72.1
"10960",5,"Hombre","501_0_3_2014",46.8125
"10961",5,"Hombre","501_0_3_2015",109.857142857143
"10962",5,"Hombre","501_0_3_2016",66.25
"10963",5,"Hombre","501_0_3_2017",45.5
"10964",5,"Hombre","501_0_3_2018",142.2
"10965",5,"Hombre","501_0_3_2019",121.333333333333
"10966",5,"Hombre","501_0_4_2005",57.4166666666667
"10967",5,"Hombre","501_0_4_2006",77.3333333333333
"10968",5,"Hombre","501_0_4_2007",40.8235294117647
"10969",5,"Hombre","501_0_4_2008",49.0714285714286
"10970",5,"Hombre","501_0_4_2009",45.1333333333333
"10971",5,"Hombre","501_0_4_2010",83.375
"10972",5,"Hombre","501_0_4_2011",93.4285714285714
"10973",5,"Hombre","501_0_4_2012",49.1538461538462
"10974",5,"Hombre","501_0_4_2013",44.7142857142857
"10975",5,"Hombre","501_0_4_2014",61.4
"10976",5,"Hombre","501_0_4_2015",120.6
"10977",5,"Hombre","501_0_4_2016",NA
"10978",5,"Hombre","501_0_4_2017",311.5
"10979",5,"Hombre","501_0_4_2018",78.5
"10980",5,"Hombre","501_0_4_2019",97.4
"10981",5,"Hombre","501_0_5_2005",101
"10982",5,"Hombre","501_0_5_2006",49.2727272727273
"10983",5,"Hombre","501_0_5_2007",58.3
"10984",5,"Hombre","501_0_5_2008",39.1875
"10985",5,"Hombre","501_0_5_2009",111.666666666667
"10986",5,"Hombre","501_0_5_2010",143.4
"10987",5,"Hombre","501_0_5_2011",108.285714285714
"10988",5,"Hombre","501_0_5_2012",266.333333333333
"10989",5,"Hombre","501_0_5_2013",118.285714285714
"10990",5,"Hombre","501_0_5_2014",85.1
"10991",5,"Hombre","501_0_5_2015",107.375
"10992",5,"Hombre","501_0_5_2016",94.8888888888889
"10993",5,"Hombre","501_0_5_2017",104.375
"10994",5,"Hombre","501_0_5_2018",126.333333333333
"10995",5,"Hombre","501_0_5_2019",73.6
"10996",5,"Hombre","501_0_6_2005",66
"10997",5,"Hombre","501_0_6_2006",56.4
"10998",5,"Hombre","501_0_6_2007",43.4285714285714
"10999",5,"Hombre","501_0_6_2008",65.6
"11000",5,"Hombre","501_0_6_2009",35.1
"11001",5,"Hombre","501_0_6_2010",42.1111111111111
"11002",5,"Hombre","501_0_6_2011",58.2857142857143
"11003",5,"Hombre","501_0_6_2012",435
"11004",5,"Hombre","501_0_6_2013",462
"11005",5,"Hombre","501_0_6_2014",81.5
"11006",5,"Hombre","501_0_6_2015",258
"11007",5,"Hombre","501_0_6_2016",183
"11008",5,"Hombre","501_0_6_2017",83.2857142857143
"11009",5,"Hombre","501_0_6_2018",37.8571428571429
"11010",5,"Hombre","501_0_6_2019",69.25
"11011",5,"Hombre","501_0_7_2005",89
"11012",5,"Hombre","501_0_7_2006",20.1111111111111
"11013",5,"Hombre","501_0_7_2007",20.7777777777778
"11014",5,"Hombre","501_0_7_2008",18.1818181818182
"11015",5,"Hombre","501_0_7_2009",42
"11016",5,"Hombre","501_0_7_2010",75.3333333333333
"11017",5,"Hombre","501_0_7_2011",80.3333333333333
"11018",5,"Hombre","501_0_7_2012",127.5
"11019",5,"Hombre","501_0_7_2013",54.4
"11020",5,"Hombre","501_0_7_2014",95
"11021",5,"Hombre","501_0_7_2015",76.25
"11022",5,"Hombre","501_0_7_2016",65.2
"11023",5,"Hombre","501_0_7_2017",57.6666666666667
"11024",5,"Hombre","501_0_7_2018",67.3333333333333
"11025",5,"Hombre","501_0_7_2019",53.5
"11026",5,"Mujer","501_1_1_2005",36.68
"11027",5,"Mujer","501_1_1_2006",36.44
"11028",5,"Mujer","501_1_1_2007",23.2051282051282
"11029",5,"Mujer","501_1_1_2008",34.4615384615385
"11030",5,"Mujer","501_1_1_2009",32.8148148148148
"11031",5,"Mujer","501_1_1_2010",73.5833333333333
"11032",5,"Mujer","501_1_1_2011",46.6842105263158
"11033",5,"Mujer","501_1_1_2012",59
"11034",5,"Mujer","501_1_1_2013",55.5
"11035",5,"Mujer","501_1_1_2014",74.0833333333333
"11036",5,"Mujer","501_1_1_2015",63.2857142857143
"11037",5,"Mujer","501_1_1_2016",126.571428571429
"11038",5,"Mujer","501_1_1_2017",127
"11039",5,"Mujer","501_1_1_2018",95.125
"11040",5,"Mujer","501_1_1_2019",68.5454545454545
"11041",5,"Mujer","501_1_2_2005",35.7894736842105
"11042",5,"Mujer","501_1_2_2006",58.6666666666667
"11043",5,"Mujer","501_1_2_2007",23.3870967741935
"11044",5,"Mujer","501_1_2_2008",27.5925925925926
"11045",5,"Mujer","501_1_2_2009",29.2692307692308
"11046",5,"Mujer","501_1_2_2010",69.9090909090909
"11047",5,"Mujer","501_1_2_2011",42.7222222222222
"11048",5,"Mujer","501_1_2_2012",54.2857142857143
"11049",5,"Mujer","501_1_2_2013",53
"11050",5,"Mujer","501_1_2_2014",51.3571428571429
"11051",5,"Mujer","501_1_2_2015",46.4666666666667
"11052",5,"Mujer","501_1_2_2016",52.0769230769231
"11053",5,"Mujer","501_1_2_2017",59.3636363636364
"11054",5,"Mujer","501_1_2_2018",77.4444444444444
"11055",5,"Mujer","501_1_2_2019",136.6
"11056",5,"Mujer","501_1_3_2005",36.8
"11057",5,"Mujer","501_1_3_2006",29.7894736842105
"11058",5,"Mujer","501_1_3_2007",34.4117647058824
"11059",5,"Mujer","501_1_3_2008",40.3333333333333
"11060",5,"Mujer","501_1_3_2009",23.4444444444444
"11061",5,"Mujer","501_1_3_2010",73.5555555555556
"11062",5,"Mujer","501_1_3_2011",53.0769230769231
"11063",5,"Mujer","501_1_3_2012",42.2352941176471
"11064",5,"Mujer","501_1_3_2013",61.8333333333333
"11065",5,"Mujer","501_1_3_2014",109
"11066",5,"Mujer","501_1_3_2015",86.4444444444444
"11067",5,"Mujer","501_1_3_2016",66.5833333333333
"11068",5,"Mujer","501_1_3_2017",90.6666666666667
"11069",5,"Mujer","501_1_3_2018",131.4
"11070",5,"Mujer","501_1_3_2019",67.4
"11071",5,"Mujer","501_1_4_2005",44.5
"11072",5,"Mujer","501_1_4_2006",62.5384615384615
"11073",5,"Mujer","501_1_4_2007",35.3913043478261
"11074",5,"Mujer","501_1_4_2008",42.4736842105263
"11075",5,"Mujer","501_1_4_2009",49.8125
"11076",5,"Mujer","501_1_4_2010",60.4615384615385
"11077",5,"Mujer","501_1_4_2011",96.25
"11078",5,"Mujer","501_1_4_2012",75.2
"11079",5,"Mujer","501_1_4_2013",66.4545454545455
"11080",5,"Mujer","501_1_4_2014",78.7777777777778
"11081",5,"Mujer","501_1_4_2015",77.4444444444444
"11082",5,"Mujer","501_1_4_2016",140
"11083",5,"Mujer","501_1_4_2017",142.2
"11084",5,"Mujer","501_1_4_2018",73.4285714285714
"11085",5,"Mujer","501_1_4_2019",175
"11086",5,"Mujer","501_1_5_2005",76.625
"11087",5,"Mujer","501_1_5_2006",54.75
"11088",5,"Mujer","501_1_5_2007",50.5
"11089",5,"Mujer","501_1_5_2008",33.0869565217391
"11090",5,"Mujer","501_1_5_2009",40.9
"11091",5,"Mujer","501_1_5_2010",67
"11092",5,"Mujer","501_1_5_2011",61.4666666666667
"11093",5,"Mujer","501_1_5_2012",121.75
"11094",5,"Mujer","501_1_5_2013",112
"11095",5,"Mujer","501_1_5_2014",103.2
"11096",5,"Mujer","501_1_5_2015",94.6363636363636
"11097",5,"Mujer","501_1_5_2016",129.5
"11098",5,"Mujer","501_1_5_2017",112.666666666667
"11099",5,"Mujer","501_1_5_2018",85.1666666666667
"11100",5,"Mujer","501_1_5_2019",99
"11101",5,"Mujer","501_1_6_2005",41
"11102",5,"Mujer","501_1_6_2006",44
"11103",5,"Mujer","501_1_6_2007",34.5454545454545
"11104",5,"Mujer","501_1_6_2008",102.5
"11105",5,"Mujer","501_1_6_2009",63.4285714285714
"11106",5,"Mujer","501_1_6_2010",119.5
"11107",5,"Mujer","501_1_6_2011",171
"11108",5,"Mujer","501_1_6_2012",78
"11109",5,"Mujer","501_1_6_2013",57.9
"11110",5,"Mujer","501_1_6_2014",123.2
"11111",5,"Mujer","501_1_6_2015",651
"11112",5,"Mujer","501_1_6_2016",172.75
"11113",5,"Mujer","501_1_6_2017",122.5
"11114",5,"Mujer","501_1_6_2018",118.333333333333
"11115",5,"Mujer","501_1_6_2019",92.25
"11116",5,"Mujer","501_1_7_2005",48
"11117",5,"Mujer","501_1_7_2006",35.5714285714286
"11118",5,"Mujer","501_1_7_2007",23.9090909090909
"11119",5,"Mujer","501_1_7_2008",21.0769230769231
"11120",5,"Mujer","501_1_7_2009",41.7142857142857
"11121",5,"Mujer","501_1_7_2010",62.6
"11122",5,"Mujer","501_1_7_2011",41.75
"11123",5,"Mujer","501_1_7_2012",44.75
"11124",5,"Mujer","501_1_7_2013",54.8571428571429
"11125",5,"Mujer","501_1_7_2014",31.3076923076923
"11126",5,"Mujer","501_1_7_2015",72.3333333333333
"11127",5,"Mujer","501_1_7_2016",155.666666666667
"11128",5,"Mujer","501_1_7_2017",38.1538461538462
"11129",5,"Mujer","501_1_7_2018",99
"11130",5,"Mujer","501_1_7_2019",77.5
"11131",5,"Hombre","502_0_1_2005",24.969696969697
"11132",5,"Hombre","502_0_1_2006",35.304347826087
"11133",5,"Hombre","502_0_1_2007",28.6785714285714
"11134",5,"Hombre","502_0_1_2008",14.5185185185185
"11135",5,"Hombre","502_0_1_2009",26.7931034482759
"11136",5,"Hombre","502_0_1_2010",59.5384615384615
"11137",5,"Hombre","502_0_1_2011",64.5833333333333
"11138",5,"Hombre","502_0_1_2012",36.9523809523809
"11139",5,"Hombre","502_0_1_2013",50.3333333333333
"11140",5,"Hombre","502_0_1_2014",42.6666666666667
"11141",5,"Hombre","502_0_1_2015",85
"11142",5,"Hombre","502_0_1_2016",85.2222222222222
"11143",5,"Hombre","502_0_1_2017",253.666666666667
"11144",5,"Hombre","502_0_1_2018",123.333333333333
"11145",5,"Hombre","502_0_1_2019",92.25
"11146",5,"Hombre","502_0_2_2005",20.90625
"11147",5,"Hombre","502_0_2_2006",27.6
"11148",5,"Hombre","502_0_2_2007",25.3214285714286
"11149",5,"Hombre","502_0_2_2008",45.625
"11150",5,"Hombre","502_0_2_2009",33.8636363636364
"11151",5,"Hombre","502_0_2_2010",43.8823529411765
"11152",5,"Hombre","502_0_2_2011",46.4375
"11153",5,"Hombre","502_0_2_2012",66.4545454545455
"11154",5,"Hombre","502_0_2_2013",37.5263157894737
"11155",5,"Hombre","502_0_2_2014",57.25
"11156",5,"Hombre","502_0_2_2015",94.4285714285714
"11157",5,"Hombre","502_0_2_2016",70.8888888888889
"11158",5,"Hombre","502_0_2_2017",615
"11159",5,"Hombre","502_0_2_2018",105.833333333333
"11160",5,"Hombre","502_0_2_2019",89.5714285714286
"11161",5,"Hombre","502_0_3_2005",37
"11162",5,"Hombre","502_0_3_2006",20.1923076923077
"11163",5,"Hombre","502_0_3_2007",28.3157894736842
"11164",5,"Hombre","502_0_3_2008",25.2727272727273
"11165",5,"Hombre","502_0_3_2009",34.2941176470588
"11166",5,"Hombre","502_0_3_2010",43.5714285714286
"11167",5,"Hombre","502_0_3_2011",58.1818181818182
"11168",5,"Hombre","502_0_3_2012",60.7272727272727
"11169",5,"Hombre","502_0_3_2013",54.0769230769231
"11170",5,"Hombre","502_0_3_2014",72.4
"11171",5,"Hombre","502_0_3_2015",61.9166666666667
"11172",5,"Hombre","502_0_3_2016",69.7272727272727
"11173",5,"Hombre","502_0_3_2017",112.428571428571
"11174",5,"Hombre","502_0_3_2018",81.3
"11175",5,"Hombre","502_0_3_2019",64.5384615384615
"11176",5,"Hombre","502_0_4_2005",31.2083333333333
"11177",5,"Hombre","502_0_4_2006",32.7391304347826
"11178",5,"Hombre","502_0_4_2007",35.5714285714286
"11179",5,"Hombre","502_0_4_2008",52.3571428571429
"11180",5,"Hombre","502_0_4_2009",35.95
"11181",5,"Hombre","502_0_4_2010",46.7333333333333
"11182",5,"Hombre","502_0_4_2011",76.1111111111111
"11183",5,"Hombre","502_0_4_2012",55.1666666666667
"11184",5,"Hombre","502_0_4_2013",71.8888888888889
"11185",5,"Hombre","502_0_4_2014",69.5555555555556
"11186",5,"Hombre","502_0_4_2015",87.8571428571429
"11187",5,"Hombre","502_0_4_2016",103
"11188",5,"Hombre","502_0_4_2017",105.333333333333
"11189",5,"Hombre","502_0_4_2018",64.2222222222222
"11190",5,"Hombre","502_0_4_2019",149.75
"11191",5,"Hombre","502_0_5_2005",25.4347826086957
"11192",5,"Hombre","502_0_5_2006",36.4705882352941
"11193",5,"Hombre","502_0_5_2007",44.1333333333333
"11194",5,"Hombre","502_0_5_2008",54.1538461538462
"11195",5,"Hombre","502_0_5_2009",44.0588235294118
"11196",5,"Hombre","502_0_5_2010",112.428571428571
"11197",5,"Hombre","502_0_5_2011",69.3333333333333
"11198",5,"Hombre","502_0_5_2012",289.333333333333
"11199",5,"Hombre","502_0_5_2013",81.7272727272727
"11200",5,"Hombre","502_0_5_2014",229.5
"11201",5,"Hombre","502_0_5_2015",70.6153846153846
"11202",5,"Hombre","502_0_5_2016",181.8
"11203",5,"Hombre","502_0_5_2017",443.5
"11204",5,"Hombre","502_0_5_2018",78.8333333333333
"11205",5,"Hombre","502_0_5_2019",65.8571428571429
"11206",5,"Hombre","502_0_6_2005",55
"11207",5,"Hombre","502_0_6_2006",44
"11208",5,"Hombre","502_0_6_2007",34.2727272727273
"11209",5,"Hombre","502_0_6_2008",45
"11210",5,"Hombre","502_0_6_2009",53.875
"11211",5,"Hombre","502_0_6_2010",154.333333333333
"11212",5,"Hombre","502_0_6_2011",61.375
"11213",5,"Hombre","502_0_6_2012",57.5555555555556
"11214",5,"Hombre","502_0_6_2013",276.5
"11215",5,"Hombre","502_0_6_2014",96.3333333333333
"11216",5,"Hombre","502_0_6_2015",121.6
"11217",5,"Hombre","502_0_6_2016",160.75
"11218",5,"Hombre","502_0_6_2017",171
"11219",5,"Hombre","502_0_6_2018",103
"11220",5,"Hombre","502_0_6_2019",64.6
"11221",5,"Hombre","502_0_7_2005",21.9
"11222",5,"Hombre","502_0_7_2006",28.5
"11223",5,"Hombre","502_0_7_2007",18.5384615384615
"11224",5,"Hombre","502_0_7_2008",25.7
"11225",5,"Hombre","502_0_7_2009",21.0769230769231
"11226",5,"Hombre","502_0_7_2010",36.625
"11227",5,"Hombre","502_0_7_2011",62.4
"11228",5,"Hombre","502_0_7_2012",67.4
"11229",5,"Hombre","502_0_7_2013",59.3333333333333
"11230",5,"Hombre","502_0_7_2014",34.3636363636364
"11231",5,"Hombre","502_0_7_2015",133.666666666667
"11232",5,"Hombre","502_0_7_2016",142.666666666667
"11233",5,"Hombre","502_0_7_2017",50.3333333333333
"11234",5,"Hombre","502_0_7_2018",50.6666666666667
"11235",5,"Hombre","502_0_7_2019",32
"11236",5,"Mujer","502_1_1_2005",19.75
"11237",5,"Mujer","502_1_1_2006",21.6666666666667
"11238",5,"Mujer","502_1_1_2007",42.8333333333333
"11239",5,"Mujer","502_1_1_2008",12.258064516129
"11240",5,"Mujer","502_1_1_2009",23.28125
"11241",5,"Mujer","502_1_1_2010",29.72
"11242",5,"Mujer","502_1_1_2011",57
